Dia,Estació,Nivell absolut (msnm),Percentatge volum embassat (%),Volum embassat (hm3)
02/05/2025,Embassament de Sau (Vilanova de Sau),417.04,75.0,123.99
02/05/2025,Embassament de la Baells (Cercs),629.62,98.7,108.06
02/05/2025,Embassament de Foix (Castellet i la Gornal),100.27,96.0,3.59
02/05/2025,Embassament de Riudecanyes,213.37,59.4,3.16
02/05/2025,Embassament de Darnius Boadella (Darnius),152.42,67.3,41.14
02/05/2025,Embassament de Sant Ponç (Clariana de Cardener),528.00,88.6,21.60
02/05/2025,Embassament de Siurana (Cornudella de Montsant),468.30,25.6,3.13
02/05/2025,Embassament de la Llosa del Cavall (Navès),796.24,67.9,54.35
02/05/2025,Embassament de Susqueda (Osor),333.18,61.0,142.22
01/05/2025,Embassament de Sant Ponç (Clariana de Cardener),527.97,88.4,21.56
01/05/2025,Embassament de Susqueda (Osor),333.10,60.9,141.88
01/05/2025,Embassament de Darnius Boadella (Darnius),152.40,67.2,41.09
01/05/2025,Embassament de Sau (Vilanova de Sau),416.77,74.2,122.65
01/05/2025,Embassament de la Baells (Cercs),629.68,98.9,108.26
01/05/2025,Embassament de Siurana (Cornudella de Montsant),468.30,25.6,3.13
01/05/2025,Embassament de la Llosa del Cavall (Navès),796.09,67.6,54.10
01/05/2025,Embassament de Riudecanyes,213.35,59.3,3.15
01/05/2025,Embassament de Foix (Castellet i la Gornal),100.28,96.2,3.60
30/04/2025,Embassament de Riudecanyes,213.33,59.2,3.15
30/04/2025,Embassament de Foix (Castellet i la Gornal),100.29,96.4,3.61
30/04/2025,Embassament de la Baells (Cercs),629.73,99.1,108.44
30/04/2025,Embassament de la Llosa del Cavall (Navès),795.98,67.3,53.86
30/04/2025,Embassament de Darnius Boadella (Darnius),152.40,66.5,40.63
30/04/2025,Embassament de Susqueda (Osor),332.97,60.7,141.37
30/04/2025,Embassament de Sant Ponç (Clariana de Cardener),527.93,88.2,21.51
30/04/2025,Embassament de Sau (Vilanova de Sau),416.50,73.4,121.31
30/04/2025,Embassament de Siurana (Cornudella de Montsant),468.29,25.6,3.13
29/04/2025,Embassament de Riudecanyes,213.31,59.0,3.14
29/04/2025,Embassament de Foix (Castellet i la Gornal),100.32,97.0,3.63
29/04/2025,Embassament de Susqueda (Osor),332.88,60.5,141.02
29/04/2025,Embassament de Sant Ponç (Clariana de Cardener),527.89,88.0,21.45
29/04/2025,Embassament de Darnius Boadella (Darnius),152.39,67.2,41.06
29/04/2025,Embassament de la Baells (Cercs),629.70,99.0,108.35
29/04/2025,Embassament de Siurana (Cornudella de Montsant),468.28,25.6,3.13
29/04/2025,Embassament de la Llosa del Cavall (Navès),795.89,67.1,53.68
29/04/2025,Embassament de Sau (Vilanova de Sau),416.14,72.3,119.55
28/04/2025,Embassament de Susqueda (Osor),332.59,60.0,139.87
28/04/2025,Embassament de la Baells (Cercs),629.63,98.8,108.10
28/04/2025,Embassament de Foix (Castellet i la Gornal),100.35,97.5,3.65
