percentatge_volum_embassat,dia,volum_embassat,estaci,nivell_absolut,id
76.4,2002-09-04T00:00:00.000,177.91,Embassament de Susqueda (Osor),341.31,20020904L17116-72-00002
72,2008-12-22T00:00:00.000,167.87,Embassament de Susqueda (Osor),339.08,20081222L17116-72-00002
98.4,2011-05-28T00:00:00.000,229.28,Embassament de Susqueda (Osor),350.36,20110528L17116-72-00002
70.8,2015-10-22T00:00:00.000,164.93,Embassament de Susqueda (Osor),338.5,20151022L17116-72-00002
96.1,2011-08-15T00:00:00.000,223.92,Embassament de Susqueda (Osor),349.52,20110815L17116-72-00002
67.2,2008-10-16T00:00:00.000,156.46,Embassament de Susqueda (Osor),336.42,20081016L17116-72-00002
67.6,2016-05-21T00:00:00.000,157.58,Embassament de Susqueda (Osor),336.85,20160521L17116-72-00002
56.7,2017-01-13T00:00:00.000,132,Embassament de Susqueda (Osor),330.56,20170113L17116-72-00002
23.8,2002-03-15T00:00:00.000,55.37,Embassament de Susqueda (Osor),304.23,20020315L17116-72-00002
85,2006-06-28T00:00:00.000,197.96,Embassament de Susqueda (Osor),345.29,20060628L17116-72-00002
74.4,2021-11-24T00:00:00.000,173.25,Embassament de Susqueda (Osor),340.28,20211124L17116-72-00002
51.4,2005-04-28T00:00:00.000,119.72,Embassament de Susqueda (Osor),327.15,20050428L17116-72-00002
89.4,2002-10-14T00:00:00.000,208.26,Embassament de Susqueda (Osor),347.08,20021014L17116-72-00002
56.9,2012-10-05T00:00:00.000,132.66,Embassament de Susqueda (Osor),330.73,20121005L17116-72-00002
77.2,2015-11-29T00:00:00.000,179.87,Embassament de Susqueda (Osor),341.64,20151129L17116-72-00002
81.3,2002-07-26T00:00:00.000,189.32,Embassament de Susqueda (Osor),343.66,20020726L17116-72-00002
88.4,2014-04-23T00:00:00.000,205.96,Embassament de Susqueda (Osor),346.54,20140423L17116-72-00002
97.9,2011-05-11T00:00:00.000,228.11,Embassament de Susqueda (Osor),350.18,20110511L17116-72-00002
34.7,2000-06-10T00:00:00.000,80.94,Embassament de Susqueda (Osor),314.64,20000610L17116-72-00002
66.1,2006-10-26T00:00:00.000,154.11,Embassament de Susqueda (Osor),335.86,20061026L17116-72-00002
80.7,2012-06-23T00:00:00.000,188.04,Embassament de Susqueda (Osor),343.25,20120623L17116-72-00002
25.4,2000-11-19T00:00:00.000,59.2,Embassament de Susqueda (Osor),305.99,20001119L17116-72-00002
89,2010-08-17T00:00:00.000,207.47,Embassament de Susqueda (Osor),346.72,20100817L17116-72-00002
25,2000-10-13T00:00:00.000,58.15,Embassament de Susqueda (Osor),305.52,20001013L17116-72-00002
51.7,2001-02-06T00:00:00.000,120.45,Embassament de Susqueda (Osor),327.35,20010206L17116-72-00002
96.8,2015-01-22T00:00:00.000,225.6,Embassament de Susqueda (Osor),349.79,20150122L17116-72-00002
35.4,2007-10-26T00:00:00.000,82.38,Embassament de Susqueda (Osor),315.17,20071026L17116-72-00002
84.4,2014-04-18T00:00:00.000,196.59,Embassament de Susqueda (Osor),344.86,20140418L17116-72-00002
93.2,2003-05-11T00:00:00.000,217.26,Embassament de Susqueda (Osor),348.54,20030511L17116-72-00002
89.4,2019-01-14T00:00:00.000,208.36,Embassament de Susqueda (Osor),346.96,20190114L17116-72-00002
87.3,2014-07-27T00:00:00.000,203.32,Embassament de Susqueda (Osor),346.24,20140727L17116-72-00002
92.7,2003-05-09T00:00:00.000,216,Embassament de Susqueda (Osor),348.34,20030509L17116-72-00002
90.7,2019-05-18T00:00:00.000,211.25,Embassament de Susqueda (Osor),347.45,20190518L17116-72-00002
68.6,2016-08-03T00:00:00.000,159.89,Embassament de Susqueda (Osor),337.38,20160803L17116-72-00002
27.5,2000-09-10T00:00:00.000,64.07,Embassament de Susqueda (Osor),308.08,20000910L17116-72-00002
82.1,2002-06-13T00:00:00.000,191.33,Embassament de Susqueda (Osor),344.05,20020613L17116-72-00002
93.7,2015-05-23T00:00:00.000,218.35,Embassament de Susqueda (Osor),348.63,20150523L17116-72-00002
67.8,2017-08-11T00:00:00.000,157.98,Embassament de Susqueda (Osor),336.95,20170811L17116-72-00002
35.5,2000-07-09T00:00:00.000,82.66,Embassament de Susqueda (Osor),315.27,20000709L17116-72-00002
67.9,2016-07-28T00:00:00.000,158.18,Embassament de Susqueda (Osor),336.99,20160728L17116-72-00002
54.2,2013-04-23T00:00:00.000,126.22,Embassament de Susqueda (Osor),329,20130423L17116-72-00002
69.3,2012-07-23T00:00:00.000,161.46,Embassament de Susqueda (Osor),337.73,20120723L17116-72-00002
85.3,2019-05-08T00:00:00.000,198.64,Embassament de Susqueda (Osor),345.24,20190508L17116-72-00002
56.1,2005-02-01T00:00:00.000,130.65,Embassament de Susqueda (Osor),330.06,20050201L17116-72-00002
55.7,2005-02-02T00:00:00.000,129.72,Embassament de Susqueda (Osor),329.82,20050202L17116-72-00002
82.3,2017-07-07T00:00:00.000,191.78,Embassament de Susqueda (Osor),343.97,20170707L17116-72-00002
65,2005-01-01T00:00:00.000,151.44,Embassament de Susqueda (Osor),335.22,20050101L17116-72-00002
72.4,2008-12-23T00:00:00.000,168.71,Embassament de Susqueda (Osor),339.27,20081223L17116-72-00002
89.3,2014-07-30T00:00:00.000,208.02,Embassament de Susqueda (Osor),346.9,20140730L17116-72-00002
61.9,2008-08-09T00:00:00.000,144.19,Embassament de Susqueda (Osor),333.46,20080809L17116-72-00002
80.1,2019-06-23T00:00:00.000,186.55,Embassament de Susqueda (Osor),342.97,20190623L17116-72-00002
77.9,2009-10-20T00:00:00.000,181.52,Embassament de Susqueda (Osor),341.93,20091020L17116-72-00002
96.5,2011-05-24T00:00:00.000,224.84,Embassament de Susqueda (Osor),349.67,20110524L17116-72-00002
32,2007-11-20T00:00:00.000,74.54,Embassament de Susqueda (Osor),312.24,20071120L17116-72-00002
97.9,2018-11-10T00:00:00.000,228.17,Embassament de Susqueda (Osor),350.19,20181110L17116-72-00002
67.8,2006-08-26T00:00:00.000,157.9,Embassament de Susqueda (Osor),336.76,20060826L17116-72-00002
73.6,2021-12-14T00:00:00.000,171.57,Embassament de Susqueda (Osor),339.92,20211214L17116-72-00002
97.3,2015-04-23T00:00:00.000,226.81,Embassament de Susqueda (Osor),349.98,20150423L17116-72-00002
89.6,2012-01-05T00:00:00.000,208.77,Embassament de Susqueda (Osor),347.03,20120105L17116-72-00002
63.7,2012-08-06T00:00:00.000,148.48,Embassament de Susqueda (Osor),334.72,20120806L17116-72-00002
80.3,2002-09-07T00:00:00.000,187.2,Embassament de Susqueda (Osor),343.24,20020907L17116-72-00002
87.9,2004-08-08T00:00:00.000,204.71,Embassament de Susqueda (Osor),346.48,20040808L17116-72-00002
64.1,2010-03-09T00:00:00.000,149.26,Embassament de Susqueda (Osor),334.96,20100309L17116-72-00002
78.6,2021-11-06T00:00:00.000,183.2,Embassament de Susqueda (Osor),342.3,20211106L17116-72-00002
90.5,2013-12-27T00:00:00.000,210.84,Embassament de Susqueda (Osor),347.38,20131227L17116-72-00002
